Cl4U,Uranium(IV) chloride,-1019.2,,-809.6,-930,,-786.6,197.1,,419
Cl4V,Vanadium(IV) chloride,,-569.4,-525.5,,-503.7,-492.0,,255.0,362.4
Cl4Zr,Zirconium(IV) chloride,-980.5,,,-889.9,,,181.6,,
Cl5Nb,Niobium(V) chloride,-797.5,,-703.7,-683.2,,-646.0,210.5,,400.6
Cl5P,Phosphorus(V) chloride,-443.5,,-374.9,,,-305.0,,,364.6
Cl5Pa,Protactinium(V) chloride,-1145.0,,,-1034.0,,,238.0,,
Cl5Ta,Tantalum(V) chloride,-859.0,,,,,,,,
Cl6U,Uranium(VI) chloride,-1092.0,,-1013.0,-962.0,,-928.0,285.8,,431.0
Cl6W,Tungsten(VI) chloride,-602.5,,-513.8,,,,,,
Cm,Curium,0.0,,,,,,,,
Co,Cobalt,0.0,,424.7,,,380.3,30.0,,179.5
CoF2,Cobalt(II) fluoride,-692.0,,,-647.2,,,82.0,,
CoH2O2,Cobalt(II) hydroxide,-539.7,,,-454.3,,,79.0,,
CoI2,Cobalt(II) iodide,-88.7,,,,,,,,
CoN2O6,Cobalt(II) nitrate,-420.5,,,,,,,,
CoO,Cobalt(II) oxide,-237.9,,,-214.2,,,53.0,,
CoO4S,Cobalt(II) sulfate,-888.3,,,-782.3,,,118.0,,
CoS,Cobalt(II) sulfide,-82.8,,,,,,,,
Co2S3,Cobalt(III) sulfide,-147.3,,,,,,,,
Co3O4,"Cobalt(II,III) oxide",-891.0,,,-774.0,,,102.5,,
Cr,Chromium,0.0,,396.6,,,351.8,23.8,,174.5
CrF2,Chromium(II) fluoride,-778.0,,,,,,,,
CrF3,Chromium(III) fluoride,-1159.0,,,-1088.0,,,93.9,,
CrI2,Chromium(II) iodide,-156.9,,,,,,,,
CrI3,Chromium(III) iodide,-205.0,,,,,,,,
CrO2,Chromium(IV) oxide,-598.0,,,,,,,,
CrO4Pb,Lead(II) chromate,-930.9,,,,,,,,
Cr2FeO4,Chromium iron oxide,-1444.7,,,-1343.8,,,146.0,,
Cr2O3,Chromium(III) oxide,-1139.7,,,-1058.1,,,81.2,,
Cr3O4,"Chromium(II,III) oxide",-1531.0,,,,,,,,
Cs,Cesium,0.0,,76.5,,,49.6,85.2,,175.6
CsF,Cesium fluoride,-553.5,,,-525.5,,,92.8,,
CsF2H,Cesium hydrogen fluoride,-923.8,,,-858.9,,,135.2,,
CsH,Cesium hydride,-54.2,,,,,,,,
CsHO,Cesium hydroxide,-417.2,,,,,,,,
CsHO4S,Cesium hydrogen sulfate,-1158.1,,,,,,,,
CsH2N,Cesium amide,-118.4,,,,,,,,
CsI,Cesium iodide,-346.6,,,-340.6,,,123.1,,
CsNO3,Cesium nitrate,-506.0,,,-406.5,,,155.2,,
CsO2,Cesium superoxide,-286.2,,,,,,,,
Cs2O,Cesium oxide,-345.8,,,-308.1,,,146.9,,
Cs2O3S,Cesium sulfite,-1134.7,,,,,,,,
Cs2O4S,Cesium sulfate,-1443.0,,,-1323.6,,,211.9,,
Cs2S,Cesium sulfide,-359.8,,,,,,,,
